Subject,Condition,da,meta_da
00024,SC,1.592,0.768
00024,CC,1.612,0.903
00024,CI,1.661,0.955
00030,SC,1.843,1.099
00030,CC,1.4,1.145
00030,CI,1.222,1.05
00074,SC,1.69,1.092
00074,CC,2.098,1.035
00074,CI,1.285,1.019
00081,SC,1.148,0.82
00081,CC,1.206,0.938
00081,CI,1.319,0.753
000087,SC,1.418,0.735
000087,CC,1.381,0.973
000087,CI,1.392,0.642
00089,SC,1.499,0.762
00089,CC,1.553,0.872
00089,CI,1.437,1.027
00091,SC,1.329,1.203
00091,CC,1.698,1.039
00091,CI,1.525,0.961
00093,SC,1.545,1.119
00093,CC,2.186,0.873
00093,CI,1.79,1.182
00094,SC,1.644,1.047
00094,CC,1.594,1.27
00094,CI,1.257,0.999
00096,SC,1.171,0.958
00096,CC,1.497,0.901
00096,CI,1.226,0.845
00097,SC,1.505,0.76
00097,CC,1.581,0.775
00097,CI,1.375,0.839
00098,SC,1.308,1.945
00098,CC,1.278,1.388
00098,CI,1.204,1.157
00099,SC,1.914,1.018
00099,CC,1.512,0.747
00099,CI,1.465,1.151
00100,SC,1.434,1.234
00100,CC,1.443,0.91
00100,CI,1.305,1.027
00102,SC,1.819,1.23
00102,CC,1.754,1.095
00102,CI,1.665,1.121
00105,SC,1.527,0.96
00105,CC,1.601,0.883
00105,CI,2.143,0.682
