Subject,Condition,da,meta_da
00024,SC,1.828,1.086
00024,CC,1.147,1.162
00024,CI,1.229,1.048
00030,SC,0.989,1.004
00030,CC,0.701,1.335
00030,CI,0.582,1.266
00074,SC,0.717,0.746
00074,CC,1.168,1.174
00074,CI,0.923,0.91
00081,SC,0.641,0.659
00081,CC,0.634,0.957
00081,CI,0.574,0.802
000087,SC,0.066,0.236
000087,CC,1.654,0.641
000087,CI,-0.146,0.183
00089,SC,1.5,0.645
00089,CC,1.157,0.581
00089,CI,1.058,0.591
00091,SC,0.833,0.777
00091,CC,1.237,1.025
00091,CI,0.298,0.42
00093,SC,1.077,0.508
00093,CC,1.329,0.808
00093,CI,0.94,0.642
00094,SC,1.155,1.12
00094,CC,1.17,1.062
00094,CI,1.269,0.69
00096,SC,0.16,0.225
00096,CC,0.846,0.105
00096,CI,1.419,0.489
00097,SC,1.251,1.299
00097,CC,1.137,0.975
00097,CI,0.816,0.815
00098,SC,1.526,0.625
00098,CC,1.048,0.532
00098,CI,0.943,0.672
00099,SC,1.565,0.313
00099,CC,1.049,0.422
00099,CI,0.608,0.647
00100,SC,1.629,0.601
00100,CC,1.57,0.291
00100,CI,1.47,0.533
00102,SC,1.964,0.569
00102,CC,0.637,0.578
00102,CI,1.721,0.466
00105,SC,0.699,0.757
00105,CC,1.083,1.231
00105,CI,1.361,1.4
