Subject,Condition,da,meta_da
00003,SC,1.834,0.868
00003,CC,1.48,0.886
00003,CI,1.063,0.697
00038,SC,2.165,0.914
00038,CC,1.847,0.971
00038,CI,2.045,0.792
00051,SC,0.643,0.296
00051,CC,0.697,0.333
00051,CI,0.525,0.277
00052,SC,0.841,0.617
00052,CC,0.334,0.379
00052,CI,-0.458,0.181
00054,SC,2.013,0.886
00054,CC,1.687,0.407
00054,CI,-0.109,0.0
00060,SC,0.887,0.471
00060,CC,0.703,0.26
00060,CI,0.155,1.665
00061,SC,0.437,1.028
00061,CC,0.174,0.995
00061,CI,0.1,0.768
00068,SC,-0.581,0.116
00068,CC,1.207,0.257
00068,CI,0.508,0.266
00071,SC,1.063,0.524
00071,CC,1.085,0.481
00071,CI,0.194,0.116
00130,SC,2.052,0.6
00130,CC,1.912,1.916
00130,CI,1.712,0.646
00161,SC,1.734,0.529
00161,CC,1.207,0.534
00161,CI,1.865,0.669
00162,SC,1.194,0.514
00162,CC,1.767,0.667
00162,CI,1.264,0.601
00193,SC,1.596,1.072
00193,CC,1.949,1.094
00193,CI,1.575,0.798
00200,SC,0.444,0.403
00200,CC,1.651,0.511
00200,CI,0.34,0.194
00201,SC,1.87,0.633
00201,CC,1.304,0.558
00201,CI,1.275,0.387
00202,SC,1.103,0.621
00202,CC,2.083,0.769
00202,CI,1.454,0.611
